iter	Passed	Remaining
398	163085	245650
399	163491	245237
400	163874	244790
401	164277	244373
402	164670	243941
403	165076	243529
404	165478	243110
405	165869	242676
406	166274	242263
407	166683	241855
408	167091	241445
409	167499	241035
410	167886	240596
411	168267	240148
412	168664	239723
413	169073	239316
414	169477	238902
415	169898	238511
416	170301	238095
417	170703	237678
418	171091	237240
419	171495	236827
420	171875	236379
421	172272	235955
422	172663	235524
423	173061	235102
424	173460	234682
425	173863	234266
426	174257	233839
427	174649	233409
428	175034	232971
429	175429	232545
430	175827	232125
431	176217	231693
432	176606	231260
433	177020	230861
434	177413	230433
435	177816	230019
436	178228	229616
437	178623	229193
438	179041	228798
439	179449	228390
440	179844	227966
441	180297	227614
442	180680	227176
443	181080	226758
444	181512	226380
445	181972	226037
446	182363	225608
447	182764	225192
448	183167	224778
449	183573	224367
450	183982	223960
451	184378	223538
452	184772	223114
453	185179	222705
454	185571	222277
455	185994	221887
456	186396	221473
457	186792	221051
458	187184	220624
459	187585	220208
460	187992	219800
461	188391	219382
462	188779	218952
463	189193	218550
464	189576	218114
465	189978	217700
466	190427	217340
467	190828	216924
468	191219	216497
469	191599	216058
470	191994	215637
471	192395	215222
472	192784	214793
473	193177	214369
474	193571	213947
475	194008	213572
476	194438	213188
477	194871	212809
478	195296	212420
479	195683	211990
480	196087	211578
481	196497	211173
482	196896	210756
483	197293	210337
484	197698	209926
485	198106	209519
486	198499	209097
487	198897	208679
488	199301	208268
489	199698	207849
490	200090	207425
491	200559	207081
492	200968	206675
493	201365	206257
494	201756	205831
495	202164	205425
496	202559	205004
497	202956	204586
498	203344	204159
499	203758	203758
500	204223	203408
501	204614	202984
502	204999	202554
503	205398	202137
504	205794	201719
505	206187	201298
506	206614	200909
507	207058	200537
508	207469	200132
509	207860	199709
510	208267	199300
511	208656	198875
512	209055	198459
513	209460	198050
514	209848	197624
515	210252	197213
516	210690	196834
517	211074	196405
518	211472	195988
519	211847	195551
520	212246	195136
521	212622	194700
522	213010	194275
523	213422	193872
524	213835	193469
525	214244	193064
526	214641	192647
527	215039	192232
528	215431	191811
529	215839	191404
530	216261	191010
531	216714	190643
532	217169	190277
533	217590	189882
534	217986	189464
535	218394	189058
536	218779	188630
537	219169	188209
538	219573	187798
539	219978	187389
540	220377	186974
541	220810	186589
542	221203	186169
543	221602	185755
544	222003	185342
545	222422	184944
546	222814	184524
547	223216	184113
548	223602	183687
549	224002	183275
550	224387	182849
551	224781	182431
552	225185	182021
553	225580	181604
554	225959	181174
555	226371	180771
556	226769	180357
557	227175	179948
558	227615	179567
559	228065	179194
560	228485	178796
561	228886	178384
562	229277	177964
563	229683	177557
564	230089	177148
565	230491	176737
566	230947	176367
567	231365	175967
568	231752	175545
569	232154	175133
570	232557	174723
571	232978	174326
572	233420	173945
573	233821	173533
574	234218	173118
575	234620	172706
576	235020	172293
577	235413	171876
578	235801	171455
579	236201	171042
580	236583	170616
581	236993	170211
582	237389	169796
583	237784	169381
584	238179	168964
585	238573	168548
586	238973	168136
587	239419	167756
588	239833	167354
589	240232	166940
590	240625	166524
591	241023	166110
592	241448	165715
593	241868	165317
594	242260	164900
595	242656	164485
596	243072	164084
597	243465	163667
598	243858	163250
599	244275	162850
600	244667	162433
601	245068	162021
602	245512	161639
603	245927	161237
604	246318	160819
605	246699	160395
606	247100	159984
607	247486	159563
608	247879	159147
609	248265	158727
610	248656	158309
611	249063	157903
612	249460	157489
613	249845	157069
614	250249	156660
615	250642	156244
616	251053	155840
617	251487	155450
618	251884	155037
619	252269	154617
620	252656	154197
621	253052	153784
622	253470	153384
623	253910	152997
624	254347	152608
625	254781	152217
626	255177	151804
627	255573	151390
628	255966	150975
629	256377	150570
630	256776	150159
631	257178	149749
632	257586	149343
633	257984	148930
634	258372	148513
635	258768	148099
636	259160	147684
637	259575	147282
638	259987	146878
639	260387	146468
640	260777	146051
641	261168	145636
642	261606	145246
643	262003	144834
644	262401	144422
645	262801	144012
646	263189	143594
647	263581	143180
648	263975	142766
649	264361	142348
650	264754	141934
651	265147	141520
652	265546	141109
653	265980	140717
654	266431	140334
655	266866	139942
656	267267	139532
657	267659	139117
658	268039	138697
659	268426	138280
660	268826	137870
661	269212	137453
662	269617	137045
663	270024	136638
664	270410	136221
665	270791	135802
666	271179	135386
667	271608	134991
668	272019	134586
669	272418	134176
670	272806	133760
671	273198	133346
672	273594	132935
673	274003	132529
674	274395	132116
675	274834	131725
676	275272	131333
677	275721	130947
678	276133	130543
679	276526	130130
680	276909	129712
681	277302	129299
682	277696	128886
683	278103	128480
684	278490	128065
685	278884	127652
686	279290	127245
687	279705	126843
688	280103	126432
689	280527	126034
690	280971	125644
691	281393	125244
692	281812	124843
693	282230	124441
694	282634	124034
695	283044	123628
696	283468	123229
697	283912	122838
698	284341	122441
699	284733	122028
700	285121	121613
701	285511	121200
702	285904	120787
703	286286	120370
704	286686	119961
705	287078	119548
706	287504	119149
707	287966	118765
708	288372	118358
709	288765	117946
710	289173	117540
711	289573	117130
712	289979	116723
713	290375	116313
714	290783	115906
715	291169	115491
716	291563	115080
717	291988	114680
718	292396	114274
719	292789	113862
720	293183	113450
721	293574	113038
722	293962	112624
723	294360	112214
724	294755	111803
725	295152	111393
726	295546	110982
727	295998	110593
728	296434	110197
729	296880	109804
730	297317	109409
731	297705	108995
732	298110	108588
733	298489	108171
734	298875	107757
735	299263	107344
736	299650	106930
737	300070	106529
738	300486	106125
739	300871	105711
740	301273	105303
741	301654	104887
742	302057	104480
743	302500	104086
744	302888	103673
745	303297	103267
746	303686	102854
747	304125	102459
748	304561	102062
749	304998	101666
750	305430	101268
751	305832	100859
752	306240	100453
753	306642	100045
754	307038	99635
755	307445	99228
756	307843	98818
757	308249	98412
758	308640	98000
759	309029	97588
760	309420	97176
761	309820	96768
762	310272	96375
763	310676	95968
764	311069	95557
765	311458	95145
766	311854	94735
767	312264	94329
768	312689	93928
769	313083	93518
770	313486	93110
771	313896	92705
772	314348	92311
773	314752	91904
774	315154	91496
775	315545	91085
776	315949	90677
777	316347	90268
778	316755	89862
779	317160	89455
780	317539	89041
781	317958	88637
782	318395	88239
783	318789	87829
784	319205	87425
785	319617	87020
786	320023	86613
787	320404	86200
788	320803	85791
789	321176	85375
790	321564	84964
791	321948	84552
792	322361	84147
793	322792	83747
794	323187	83337
795	323570	82925
796	323966	82516
797	324421	82121
798	324864	81724
799	325309	81327
800	325739	80926
801	326136	80517
802	326557	80114
803	326949	79704
804	327342	79294
805	327724	78881
806	328102	78468
807	328497	78058
808	328890	77649
809	329295	77242
810	329688	76832
811	330129	76433
812	330570	76035
813	330975	75628
814	331375	75220
815	331765	74809
816	332157	74400
817	332567	73994
818	333027	73599
819	333475	73202
820	333887	72796
821	334271	72384
822	334687	71980
823	335090	71572
824	335474	71161
825	335881	70754
826	336327	70356
827	336774	69957
828	337164	69547
829	337558	69138
830	337940	68726
831	338359	68322
832	338751	67912
833	339151	67504
834	339540	67094
835	339931	66685
836	340325	66276
837	340714	65866
838	341107	65456
839	341503	65048
840	341895	64638
841	342290	64230
842	342685	63821
843	343136	63423
844	343579	63023
845	344021	62623
846	344451	62220
847	344880	61818
848	345277	61409
849	345673	61001
850	346063	60591
851	346469	60184
852	346857	59775
853	347250	59366
854	347647	58957
855	348034	58547
856	348447	58142
857	348844	57734
858	349245	57326
859	349676	56924
860	350106	56521
861	350505	56113
862	350894	55704
863	351279	55294
864	351675	54885
865	352084	54479
866	352481	54071
867	352884	53664
868	353349	53266
869	353774	52862
870	354169	52454
871	354561	52045
872	354971	51639
873	355363	51230
874	355756	50822
875	356157	50414
876	356555	50007
877	356946	49598
878	357370	49194
879	357811	48792
880	358218	48385
881	358607	47976
882	359007	47569
883	359413	47162
884	359807	46754
885	360205	46347
886	360604	45939
887	361000	45531
888	361422	45127
889	361875	44726
890	362275	44318
891	362668	43910
892	363057	43501
893	363549	43105
894	363988	42702
895	364399	42296
896	364794	41888
897	365199	41481
898	365584	41072
899	365982	40664
900	366392	40258
901	366789	39850
902	367191	39443
903	367574	39034
904	367991	38628
905	368396	38222
906	368855	37820
907	369280	37416
908	369677	37008
909	370094	36602
910	370500	36195
911	370899	35788
912	371291	35380
913	371700	34974
914	372095	34566
915	372495	34158
916	372898	33751
917	373316	33346
918	373805	32946
919	374235	32542
920	374626	32134
921	375018	31726
922	375423	31319
923	375810	30910
924	376191	30502
925	376900	30119
926	377416	29721
927	377855	29316
928	378273	28910
929	378864	28516
930	379374	28116
931	379794	27710
932	380259	27306
933	380831	26911
934	381269	26505
935	381697	26098
936	382118	25692
937	382559	25286
938	382990	24880
939	383412	24473
940	383898	24070
941	384303	23661
942	384707	23253
943	385099	22844
944	385497	22436
945	386037	22035
946	386490	21630
947	386938	21224
948	387376	20817
949	387767	20408
950	388158	19999
951	388541	19590
952	388932	19181
953	389331	18772
954	389775	18366
955	390244	17961
956	390650	17552
957	391040	17143
958	391436	16735
959	391860	16327
960	392306	15920
