iter	Passed	Remaining
399	41323	61985
400	41446	61911
401	41561	61824
402	41666	61724
403	41777	61632
404	41891	61543
405	42008	61460
406	42126	61377
407	42238	61287
408	42335	61174
409	42433	61063
410	42526	60944
411	42624	60833
412	42718	60716
413	42817	60606
414	42911	60490
415	43018	60391
416	43120	60285
417	43219	60176
418	43326	60078
419	43474	60035
420	43598	59960
421	43703	59859
422	43808	59757
423	43920	59666
424	44031	59572
425	44138	59473
426	44257	59389
427	44357	59281
428	44453	59167
429	44546	59050
430	44648	58944
431	44742	58827
432	44839	58716
433	44934	58601
434	45042	58502
435	45138	58389
436	45238	58282
437	45345	58182
438	45461	58095
439	45573	58002
440	45681	57904
441	45790	57807
442	45913	57728
443	46017	57625
444	46125	57527
445	46240	57437
446	46347	57338
447	46441	57222
448	46542	57116
449	46645	57010
450	46737	56893
451	46828	56774
452	46920	56656
453	47028	56558
454	47127	56449
455	47225	56339
456	47330	56237
457	47446	56148
458	47560	56057
459	47666	55956
460	47778	55862
461	47884	55761
462	47992	55662
463	48103	55568
464	48224	55483
465	48327	55379
466	48433	55278
467	48527	55163
468	48630	55059
469	48722	54942
470	48819	54831
471	48911	54714
472	49011	54606
473	49115	54503
474	49211	54391
475	49313	54286
476	49433	54201
477	49540	54101
478	49646	53999
479	49759	53906
480	49865	53804
481	49968	53700
482	50076	53601
483	50191	53509
484	50298	53409
485	50407	53311
486	50504	53200
487	50606	53095
488	50699	52980
489	50797	52871
490	50894	52760
491	50993	52651
492	51096	52547
493	51190	52434
494	51287	52323
495	51399	52228
496	51513	52135
497	51623	52038
498	51733	51941
499	51840	51840
500	51947	51739
501	52057	51643
502	52166	51543
503	52271	51441
504	52383	51346
505	52475	51231
506	52578	51126
507	52672	51013
508	52766	50900
509	52863	50790
510	52961	50681
511	53059	50572
512	53156	50462
513	53253	50352
514	53358	50250
515	53468	50153
516	53622	50095
517	53745	50009
518	53851	49908
519	53953	49802
520	54064	49706
521	54179	49612
522	54282	49508
523	54398	49415
524	54498	49308
525	54590	49194
526	54688	49085
527	54782	48972
528	54883	48865
529	54983	48758
530	55075	48645
531	55180	48542
532	55281	48436
533	55399	48344
534	55508	48245
535	55611	48141
536	55721	48042
537	55827	47940
538	55929	47835
539	56044	47741
540	56161	47649
541	56273	47552
542	56386	47456
543	56490	47352
544	56587	47242
545	56683	47132
546	56776	47019
547	56874	46911
548	56974	46803
549	57074	46697
550	57177	46592
551	57272	46482
552	57378	46379
553	57481	46275
554	57592	46177
555	57702	46078
556	57806	45974
557	57921	45880
558	58043	45790
559	58166	45702
560	58287	45612
561	58408	45521
562	58521	45424
563	58624	45319
564	58727	45214
565	58837	45115
566	58935	45006
567	59032	44897
568	59133	44792
569	59231	44683
570	59339	44582
571	59447	44481
572	59557	44382
573	59668	44283
574	59773	44180
575	59872	44072
576	59973	43966
577	60082	43866
578	60197	43770
579	60307	43671
580	60424	43576
581	60534	43476
582	60629	43366
583	60731	43260
584	60826	43150
585	60925	43042
586	61019	42931
587	61121	42826
588	61221	42719
589	61324	42615
590	61431	42513
591	61539	42412
592	61658	42318
593	61766	42217
594	61875	42117
595	61982	42014
596	62095	41917
597	62200	41813
598	62312	41715
599	62426	41617
600	62525	41510
601	62620	41400
602	62717	41291
603	62811	41180
604	62908	41072
605	63000	40960
606	63095	40850
607	63198	40746
608	63300	40641
609	63400	40534
610	63511	40434
611	63625	40337
612	63791	40273
613	63903	40173
614	64010	40071
615	64111	39965
616	64210	39858
617	64316	39755
618	64422	39652
619	64519	39544
620	64614	39434
621	64708	39324
622	64802	39214
623	64902	39107
624	64992	38995
625	65091	38888
626	65196	38785
627	65290	38675
628	65393	38570
629	65501	38469
630	65612	38369
631	65716	38265
632	65822	38162
633	65933	38062
634	66042	37961
635	66148	37858
636	66258	37757
637	66378	37662
638	66484	37560
639	66581	37451
640	66677	37343
641	66782	37239
642	66875	37130
643	66973	37022
644	67078	36918
645	67180	36814
646	67283	36709
647	67386	36604
648	67489	36500
649	67609	36405
650	67717	36303
651	67827	36202
652	67947	36106
653	68048	36000
654	68159	35901
655	68273	35802
656	68395	35707
657	68502	35604
658	68599	35496
659	68699	35390
660	68800	35284
661	68892	35174
662	68996	35070
663	69095	34963
664	69199	34860
665	69303	34755
666	69401	34648
667	69507	34545
668	69619	34445
669	69731	34345
670	69839	34243
671	69966	34150
672	70070	34045
673	70188	33948
674	70304	33850
675	70418	33750
676	70530	33650
677	70625	33541
678	70726	33436
679	70819	33326
680	70911	33217
681	71008	33109
682	71113	33005
683	71215	32900
684	71317	32795
685	71417	32689
686	71527	32588
687	71632	32484
688	71742	32382
689	71853	32282
690	71964	32180
691	72068	32076
692	72175	31973
693	72289	31874
694	72400	31773
695	72519	31675
696	72615	31567
697	72715	31461
698	72807	31352
699	72903	31244
700	72999	31136
701	73100	31031
702	73200	30925
703	73305	30821
704	73399	30713
705	73509	30611
706	73616	30508
707	73725	30406
708	73888	30326
709	74003	30226
710	74113	30124
711	74222	30022
712	74338	29923
713	74443	29819
714	74554	29717
715	74659	29613
716	74762	29508
717	74854	29399
718	74947	29290
719	75043	29183
720	75142	29077
721	75235	28968
722	75338	28864
723	75440	28759
724	75539	28653
725	75646	28549
726	75756	28447
727	75863	28344
728	75968	28240
729	76080	28139
730	76191	28037
731	76308	27938
732	76422	27837
733	76533	27735
734	76634	27630
735	76731	27523
736	76822	27414
737	76919	27307
738	77018	27201
739	77113	27093
740	77212	26987
741	77318	26884
742	77425	26781
743	77525	26675
744	77628	26570
745	77739	26469
746	77854	26368
747	77959	26264
748	78069	26162
749	78182	26060
750	78290	25957
751	78398	25854
752	78514	25754
753	78625	25652
754	78719	25544
755	78814	25437
756	78911	25330
757	79015	25226
758	79112	25120
759	79209	25013
760	79316	24910
761	79419	24805
762	79514	24698
763	79623	24595
764	79731	24492
765	79843	24390
766	79955	24289
767	80077	24190
768	80236	24102
769	80376	24008
770	80522	23916
771	80659	23821
772	80792	23725
773	80939	23633
774	81084	23540
775	81223	23445
776	81383	23357
777	81537	23266
778	81648	23163
779	81735	23053
780	81830	22946
781	81922	22837
782	82017	22730
783	82110	22622
784	82215	22517
785	82320	22412
786	82414	22305
787	82508	22197
788	82618	22094
789	82733	21992
790	82841	21888
791	82944	21783
792	83053	21679
793	83162	21576
794	83277	21473
795	83397	21373
796	83508	21270
797	83616	21166
798	83708	21058
799	83816	20954
800	83912	20847
801	84049	20750
802	84147	20643
803	84247	20537
804	84345	20431
805	84446	20325
806	84538	20218
807	84643	20113
808	84747	20008
809	84853	19903
810	84964	19800
811	85068	19695
812	85180	19592
813	85296	19490
814	85412	19388
815	85525	19285
816	85636	19181
817	85734	19075
818	85827	18967
819	85923	18861
820	86019	18754
821	86123	18649
822	86217	18542
823	86321	18437
824	86416	18330
825	86515	18224
826	86621	18120
827	86727	18015
828	86837	17912
829	86946	17808
830	87049	17703
831	87157	17599
832	87265	17495
833	87385	17393
834	87496	17289
835	87606	17185
836	87710	17080
837	87803	16973
838	87902	16868
839	87995	16761
840	88093	16654
841	88190	16548
842	88286	16442
843	88386	16336
844	88489	16231
845	88589	16126
846	88693	16021
847	88795	15916
848	88910	15813
849	89014	15708
850	89118	15603
851	89224	15499
852	89346	15397
853	89479	15297
854	89600	15195
855	89722	15093
856	89832	14989
857	89945	14886
858	90054	14781
859	90183	14680
860	90292	14576
861	90401	14472
862	90513	14368
863	90634	14266
864	90750	14163
865	90879	14062
866	90998	13959
867	91134	13859
868	91257	13756
869	91387	13655
870	91504	13552
871	91611	13447
872	91722	13343
873	91820	13237
874	91919	13131
875	92013	13024
876	92115	12919
877	92215	12813
878	92318	12708
879	92419	12602
880	92520	12497
881	92615	12390
882	92716	12285
883	92829	12181
884	92940	12077
885	93050	11972
886	93156	11867
887	93266	11763
888	93381	11659
889	93494	11555
890	93605	11451
891	93717	11346
892	93815	11241
893	93911	11134
894	94009	11029
895	94158	10929
896	94257	10823
897	94362	10718
898	94461	10612
899	94564	10507
900	94684	10403
901	94794	10299
902	94909	10195
903	95015	10090
904	95122	9985
905	95237	9881
906	95375	9779
907	95495	9675
908	95624	9572
909	95736	9468
910	95832	9362
911	95935	9256
912	96035	9151
913	96128	9044
914	96226	8939
915	96333	8834
916	96434	8728
917	96526	8622
918	96620	8516
919	96718	8410
920	96830	8305
921	96941	8201
922	97047	8096
923	97160	7991
924	97276	7887
925	97388	7782
926	97498	7677
927	97605	7572
928	97720	7468
929	97822	7362
930	97918	7257
931	98020	7151
932	98111	7045
933	98214	6940
934	98320	6835
935	98431	6730
936	98523	6624
937	98618	6518
938	98710	6412
939	98816	6307
940	98929	6202
941	99031	6097
942	99135	5992
943	99251	5887
944	99367	5783
945	99497	5679
946	99611	5574
947	99713	5469
948	99815	5364
949	99913	5258
950	100020	5153
951	100121	5048
952	100230	4943
953	100351	4838
954	100460	4733
955	100556	4628
956	100664	4523
957	100763	4417
958	100874	4312
