iter	Logloss
113	0.1642442652
114	0.1641813353
115	0.1640718046
116	0.1639415654
117	0.1638702807
118	0.1638131549
119	0.1637288957
120	0.1636186946
121	0.1635436681
122	0.1633894359
123	0.1632531521
124	0.1632008864
125	0.1628929323
126	0.1627404585
127	0.1624196661
128	0.1622892115
129	0.1622192243
130	0.1620988373
131	0.1618314812
132	0.1617301227
133	0.1615091582
134	0.1614104628
135	0.1613147239
136	0.1612215569
137	0.1611747802
138	0.1610635808
139	0.1609806377
140	0.1608761869
141	0.1607971982
142	0.1607228401
143	0.1606843875
144	0.1605878598
145	0.160472431
146	0.1603808405
147	0.1602710446
148	0.1601338135
149	0.1600683978
150	0.1599812381
151	0.159883617
152	0.1597992876
153	0.1597329302
154	0.1596260654
155	0.1595615578
156	0.1594900105
157	0.1592489649
158	0.1591764404
159	0.1590339492
160	0.1588051679
161	0.1586966089
162	0.1586803801
163	0.1584769664
164	0.1583073306
165	0.1581546981
166	0.1580283082
167	0.1579491485
168	0.1578368271
169	0.1576076703
170	0.1575039507
171	0.1574200251
172	0.1573749195
173	0.1572236231
174	0.1571086233
175	0.1570368567
176	0.1569948451
177	0.1569401809
178	0.1568967061
179	0.1567429114
180	0.1566559706
181	0.1565879883
182	0.1565703052
183	0.1565320929
184	0.1564317959
185	0.1563743506
186	0.1561271018
187	0.1560510968
188	0.1560395418
189	0.1558370875
190	0.1556325499
191	0.1555570515
192	0.1554385751
193	0.155408804
194	0.155325746
195	0.1552586005
196	0.1552396418
197	0.1550923832
198	0.155032576
199	0.1549553822
200	0.1548608717
201	0.1547001047
202	0.1546094617
203	0.1545551577
204	0.154476153
205	0.1544524488
206	0.1543543762
207	0.1543009287
208	0.1542312271
209	0.1541497765
210	0.1540567113
211	0.153959389
212	0.1538112068
213	0.1537249944
214	0.1536288923
215	0.1536254094
216	0.1536227687
217	0.1535204452
218	0.1534569457
219	0.1533760826
220	0.1532567987
221	0.1531935208
222	0.1530885044
223	0.1529953952
224	0.1528931616
225	0.1528015864
226	0.1527372186
227	0.1526588519
228	0.152565278
229	0.1525615854
230	0.1525030021
231	0.1524058086
232	0.1523010081
233	0.1522141471
234	0.1521112961
235	0.1520376315
236	0.1519160977
237	0.1518314206
238	0.1517472049
239	0.1516551945
240	0.1515859564
241	0.1515514358
242	0.1514783123
243	0.1514247886
244	0.1512846597
245	0.1512158384
246	0.1511476253
247	0.1510781886
248	0.1510102498
249	0.1510070018
250	0.1509198578
251	0.1508496124
252	0.1508089224
253	0.1506807542
254	0.1505989426
255	0.1505051507
256	0.1504428845
257	0.1503107666
258	0.1502639428
259	0.1501780465
260	0.1501150756
261	0.1500137837
262	0.1499324632
263	0.149871127
264	0.1498022976
265	0.1497143452
266	0.1496052063
267	0.1494117108
268	0.1493401813
269	0.1492489559
270	0.1492455636
271	0.1491686343
272	0.1490084633
273	0.1489278745
274	0.1488456002
275	0.1487894743
276	0.1487141196
277	0.1487114868
278	0.1485894653
279	0.1484979685
280	0.1484149961
281	0.1483171765
282	0.148258079
283	0.1481794254
284	0.1481377037
285	0.148067248
286	0.1480655845
287	0.1479182465
288	0.1478467428
289	0.1477789181
290	0.1476835391
291	0.1476401783
292	0.1475708644
293	0.1474786482
294	0.1474346302
295	0.1473869344
296	0.147349541
297	0.1472491919
298	0.147171669
299	0.1471004552
300	0.1470676272
301	0.1469835295
302	0.1469321434
303	0.1468677426
304	0.1467632569
305	0.1466863121
306	0.1466143468
307	0.146523059
308	0.1464648198
309	0.1463720889
310	0.1462959598
311	0.1462930883
312	0.1462314112
313	0.1461331734
314	0.1460837694
315	0.1459678731
316	0.1459052998
317	0.1458551446
318	0.1457601944
319	0.1456876779
320	0.145649686
321	0.1455706972
322	0.1454623465
323	0.1453823365
324	0.1453085785
325	0.1452274533
326	0.1451699216
327	0.1450917261
328	0.1449857363
329	0.1449319941
330	0.1448923966
331	0.1448898215
332	0.1447318955
333	0.1446671746
334	0.1446001571
335	0.1445148267
336	0.1444324306
337	0.1443360921
338	0.1442269487
339	0.1441460486
340	0.1440806018
341	0.1440111069
342	0.1439757398
343	0.1439298083
344	0.1438725722
345	0.143821441
346	0.143759616
347	0.1436588061
348	0.1436094006
349	0.1435135742
350	0.1434359591
351	0.1433730049
352	0.1433368284
353	0.1432636441
354	0.1432263204
355	0.1431820089
356	0.1431796078
357	0.1431258917
358	0.1430631945
359	0.1430332467
360	0.1429516754
361	0.1428402244
362	0.142778386
363	0.1427247399
364	0.1426394824
365	0.1425772113
366	0.1424920952
367	0.1424295937
368	0.1423432397
369	0.1423020462
370	0.1422198429
371	0.1421740166
372	0.1420983796
373	0.1420806831
374	0.142064782
375	0.1419990734
376	0.1419185136
377	0.1418429095
378	0.1417344691
379	0.141625218
380	0.1415431724
381	0.1414760143
382	0.1413997302
383	0.1413731554
384	0.1413288111
385	0.1412848739
386	0.141219224
387	0.1411877163
388	0.1411306365
389	0.1410462712
390	0.1410206007
391	0.1409512017
392	0.1408869889
393	0.1408256437
394	0.1408237344
395	0.14077497
396	0.1407549476
397	0.1406993426
398	0.1406197797
399	0.1405925006
400	0.1405588094
401	0.1405135227
402	0.1404697475
403	0.140434582
404	0.1403637803
405	0.1403466097
406	0.1402452773
407	0.1401956901
408	0.1401708055
409	0.1401207569
410	0.1400368904
411	0.1399615244
412	0.1398935468
413	0.1398128857
414	0.1397561222
415	0.1396898293
416	0.1396296006
417	0.1395820288
418	0.1395185
419	0.1394537878
420	0.1393826442
421	0.1393809373
422	0.1393186291
423	0.1392451202
424	0.1391811215
425	0.1391053527
426	0.1390579679
427	0.1389785108
428	0.1389480639
429	0.138878607
430	0.1388366929
431	0.1387886105
432	0.1387215895
433	0.1386479493
434	0.1385828968
435	0.1385560141
436	0.138486597
437	0.1384003799
438	0.138331626
439	0.1382959168
440	0.1382144287
441	0.1381324724
442	0.1380778774
443	0.1380118019
444	0.1379795125
445	0.1379392878
446	0.1379320148
447	0.1377835694
448	0.1377155553
449	0.1376342235
450	0.1375510479
451	0.1374689371
452	0.1373673848
453	0.1373057756
454	0.1372512034
455	0.1371912696
456	0.137129903
457	0.1370595106
458	0.1369720816
459	0.1369189662
460	0.13688232
461	0.1368345283
462	0.1367880883
463	0.1367411008
464	0.1367189251
465	0.1366478964
466	0.1365821935
467	0.1365377094
468	0.1364901291
469	0.1364249426
470	0.1363729849
471	0.1363232088
472	0.1362551549
473	0.1362130475
474	0.13618207
475	0.1360629865
476	0.1359997581
477	0.135947818
478	0.13589167
479	0.1358684829
480	0.1358133228
481	0.1357646308
482	0.1357134295
483	0.1356626501
484	0.1356201393
485	0.1355623347
486	0.1355137121
487	0.1354417965
488	0.1354045788
489	0.1353559966
490	0.1352989604
491	0.1352640723
492	0.1351707193
493	0.1351369719
494	0.1350613444
495	0.1350191461
496	0.1350179313
497	0.1349470511
498	0.1349337254
499	0.1349188992
500	0.1348750122
501	0.1348130065
502	0.1347210706
503	0.1346781921
504	0.1346386713
505	0.1345731516
506	0.1345385462
507	0.1344834799
508	0.1344433016
509	0.1343932431
510	0.1343207635
511	0.134254741
512	0.1341977866
513	0.1341390369
514	0.1341004368
515	0.1340400461
516	0.1339564396
517	0.1338859721
518	0.133825684
519	0.1337844492
520	0.1337315214
521	0.1336690339
522	0.1335846705
523	0.1335168816
524	0.1334767151
525	0.1334234412
526	0.1333619664
527	0.1333081273
528	0.1332440209
529	0.1332194936
530	0.133179169
531	0.1331016827
532	0.1330613094
533	0.1330161506
534	0.1329863703
535	0.132935493
536	0.1328839551
537	0.1328471198
538	0.1328371489
539	0.1327761715
540	0.1327085615
541	0.1327076323
542	0.132652745
543	0.1325925664
544	0.1325087454
545	0.132458916
546	0.1323946182
547	0.1323506227
548	0.1323439173
549	0.1322877931
550	0.1322455474
551	0.1322000344
552	0.1321488159
553	0.1320763115
554	0.1320426521
555	0.1320112652
556	0.1319597633
557	0.1318913952
558	0.1318349807
559	0.131754032
560	0.1317122644
561	0.1317114689
562	0.1316320109
563	0.1315772541
564	0.1315272714
565	0.131448787
566	0.1314062318
567	0.1313618749
568	0.1313077827
569	0.1312500108
570	0.1312220456
571	0.1311311558
572	0.1310725812
573	0.1310071687
574	0.1309496357
575	0.1309211223
576	0.1308655481
577	0.1308106316
578	0.1307369988
579	0.1306921285
580	0.1306285425
581	0.1305560586
582	0.130473657
583	0.1304244944
584	0.130367042
585	0.1303230391
586	0.1302895725
587	0.1302399299
588	0.1301922777
589	0.1301487108
590	0.130147919
591	0.1300841429
592	0.130028107
593	0.1299686507
594	0.1299177208
595	0.1298839789
596	0.1298745967
597	0.1298341543
598	0.12979751
599	0.1297633893
600	0.1297217314
601	0.1296462499
602	0.1295852551
603	0.1295590844
604	0.1295119152
605	0.1294635493
606	0.1294626923
607	0.1294151093
608	0.1293648025
609	0.1293140923
610	0.1292186617
611	0.1291461899
612	0.129089036
613	0.1290462206
614	0.1290072121
615	0.1289735803
616	0.1289343373
617	0.1288632838
618	0.1288123122
619	0.1287859261
620	0.1287389353
621	0.1286993494
622	0.1286986624
623	0.128676162
624	0.128654121
625	0.1285997503
626	0.1285171798
627	0.1284456662
628	0.1283963275
629	0.1283461545
630	0.128284885
631	0.1282104744
632	0.1281403556
633	0.1281296711
634	0.1280674781
635	0.1280172738
636	0.1279408005
637	0.1279019526
638	0.1278561718
639	0.1278094911
640	0.1277525673
641	0.1277080643
642	0.1276560532
643	0.1275972988
644	0.1275441849
645	0.1274954163
646	0.1274407984
647	0.1273984958
648	0.1273978341
649	0.1273760071
650	0.1273364231
651	0.1272549273
652	0.1272058418
653	0.127135162
654	0.1270887065
655	0.127060786
656	0.1270347088
657	0.1269826861
658	0.1269402172
659	0.1269304151
660	0.1268838222
661	0.1268337262
662	0.1267698737
663	0.1267274355
664	0.1266672644
665	0.1266012575
666	0.1265495902
667	0.1265418975
668	0.12650846
669	0.126445101
670	0.1264444537
671	0.1263869982
672	0.1263252145
673	0.1262752011
674	0.1262136067
675	0.1261727417
676	0.1261296211
677	0.1260738411
678	0.1260727452
679	0.1260260114
680	0.1260202162
681	0.1259712437
682	0.1258888499
683	0.12586023
684	0.1258076545
685	0.1257747097
686	0.1257113985
687	0.1256559506
688	0.1255946174
689	0.1255391515
690	0.1254909984
691	0.1254447793
692	0.12540694
693	0.12533254
694	0.1252848956
695	0.12524538
696	0.1251913232
697	0.1251640475
698	0.1251280322
699	0.1250778312
700	0.1250305143
701	0.1250025623
702	0.1249706863
703	0.1249111844
704	0.1248705674
705	0.1248233013
706	0.1247884508
707	0.1247507014
708	0.124696224
709	0.124675252
710	0.1246242741
711	0.1245797508
712	0.124532002
713	0.1244711278
714	0.1244339464
715	0.1244014448
716	0.1243585514
717	0.1243213916
718	0.1242925792
719	0.1242694516
720	0.124233531
721	0.1241881742
722	0.1241268191
723	0.1240758653
724	0.1240179852
725	0.1239719348
726	0.1239336752
727	0.1239190641
728	0.1238616503
729	0.1238313548
730	0.1237786278
731	0.1237387675
732	0.1236864444
733	0.1236130016
734	0.1235669519
735	0.1235127556
736	0.1235121572
737	0.123477222
738	0.1234580667
739	0.1234264699
740	0.123368283
741	0.1233402447
742	0.1233146525
743	0.1232615713
744	0.1232331477
745	0.1231833563
746	0.123136135
747	0.1230991949
748	0.1230459734
749	0.1230019602
750	0.1229461935
751	0.1229456187
752	0.1229039188
753	0.1228783918
754	0.1228138382
755	0.1227873716
756	0.122743486
757	0.1226973584
758	0.122644665
759	0.1225962898
760	0.1225629446
761	0.1224749267
762	0.1224049116
763	0.1223618743
764	0.1223188984
765	0.1223100533
766	0.1222502429
767	0.1222073949
768	0.122169096
769	0.122132034
770	0.1220879064
771	0.1220377099
772	0.1220020964
773	0.1219470744
774	0.1219033128
775	0.1218770617
776	0.1218445224
777	0.1217943451
778	0.1217260689
779	0.1216732775
780	0.1216273014
781	0.12157519
782	0.1215291571
783	0.1214793549
784	0.1214146893
785	0.1213934652
786	0.1213419477
787	0.1212846839
788	0.121247686
789	0.1211894481
790	0.1211511485
791	0.1211037214
792	0.121071325
793	0.1210217507
794	0.121021203
795	0.1209903878
796	0.1209749081
797	0.1209094814
798	0.1208826859
799	0.1208821888
800	0.1208346334
801	0.1208128229
802	0.1208089992
803	0.1207588186
804	0.1207278229
805	0.1206764453
806	0.1206369126
807	0.1205661605
808	0.1205347576
809	0.1205002791
810	0.120457639
811	0.1204016885
812	0.1203851162
813	0.120307486
814	0.1202626556
815	0.1202010413
816	0.1201129365
817	0.1201124575
818	0.1200743564
819	0.120027756
820	0.119990794
821	0.1199593366
822	0.1199305553
823	0.1198980137
824	0.1198776261
825	0.1198218893
826	0.1197503682
827	0.1197118537
828	0.1196792332
829	0.119592804
830	0.1195520801
831	0.1195513065
832	0.1195111803
833	0.1194502992
834	0.1193982147
835	0.1193567985
836	0.1193085696
837	0.1192824288
838	0.11922335
839	0.1191742029
840	0.11910832
841	0.1190379354
842	0.1190073723
843	0.1189967319
844	0.1189414389
845	0.1188631777
846	0.118805418
847	0.118755355
848	0.1187132702
849	0.1186671586
850	0.1186331616
851	0.118589644
852	0.1185617862
853	0.118509413
854	0.1184587884
855	0.1184298179
856	0.1184089202
857	0.1183493664
858	0.1183271772
859	0.1182724909
860	0.1182343279
861	0.1181874379
862	0.1181365202
863	0.118100289
864	0.1180670132
865	0.1180233952
866	0.1179851035
867	0.1179248002
868	0.1178573979
869	0.1178046117
870	0.1177734133
871	0.1177128036
872	0.1176477402
873	0.1176060869
874	0.1175613963
875	0.1175252527
876	0.1174721057
877	0.1174168321
878	0.1173755749
879	0.117335241
880	0.1173108376
881	0.1172464279
882	0.1171838808
883	0.1171323071
884	0.1171022408
885	0.1170553317
886	0.1170100785
887	0.1169729236
888	0.1169355475
889	0.1168814332
890	0.1168514166
891	0.1168231594
892	0.1167929594
893	0.1167647616
894	0.1167365137
895	0.1167156201
896	0.1166865727
897	0.1166764152
898	0.1166511148
899	0.1166104795
900	0.1166097747
901	0.1165850389
902	0.116525582
903	0.1164882802
904	0.1164757443
905	0.1164275498
906	0.1163769452
907	0.1163255051
908	0.1163222568
909	0.1162670927
910	0.116221496
911	0.116160154
912	0.1160975813
913	0.1160508293
914	0.1160008456
915	0.1159769014
916	0.1159422521
917	0.1158962006
918	0.1158500677
919	0.1157890865
920	0.1157558663
921	0.1157293961
922	0.1156923578
923	0.1156783279
924	0.115636385
925	0.1156051343
926	0.1155569201
927	0.115519303
928	0.1154798604
929	0.1154123974
930	0.1153708309
931	0.1153680706
932	0.1153488984
933	0.1153132165
934	0.1152824536
935	0.1152220243
936	0.115210124
937	0.1151838375
938	0.1151470773
939	0.1151134963
940	0.1150827999
941	0.1150525691
942	0.1150179387
943	0.1149708031
944	0.1149313344
945	0.1148944154
946	0.1148558073
947	0.1147991055
948	0.1147770736
949	0.1147425684
950	0.1146886985
951	0.1146484957
952	0.1146159767
953	0.1145786457
954	0.11452779
955	0.1144999986
956	0.1144416965
957	0.114410013
958	0.1143698068
959	0.1143472849
960	0.1142959636
961	0.1142583126
962	0.1142555455
963	0.1142175577
964	0.114185196
965	0.1141576776
966	0.114124833
967	0.1141154039
968	0.1140898986
969	0.1140457768
970	0.1140132152
971	0.113968492
972	0.1139361814
973	0.1138897641
974	0.1138462243
975	0.1138027735
976	0.1137625243
977	0.1137179992
978	0.1136829672
979	0.1136426012
980	0.1136112476
981	0.1135619476
982	0.113523768
983	0.1134774572
984	0.1134429395
985	0.113393676
986	0.1133262284
987	0.113285493
988	0.1132709134
989	0.1132493824
990	0.1132220542
991	0.1131627312
992	0.1131394516
993	0.1131018455
994	0.1130657679
995	0.1130179026
996	0.1129951717
997	0.1129270243
998	0.1128894393
999	0.1128600431
